评论ID,提及品牌,平台,评论内容,点赞数,评论数,转发数,情感倾向,发布时间
CM00499,竞品B,B站,客服态度太差了，再也不会买了,46,11,8,负面,2023-06-03
CM00500,品牌A,微博,国货之光，必须支持,56,8,4,正面,2023-03-15
CM00501,竞品B,小红书,国货之光，必须支持,54,7,6,正面,2023-01-19
CM00502,竞品B,抖音,什么时候出新品啊，等好久了,56,10,12,正面,2023-03-06
CM00503,品牌A,B站,价格有点贵，但是一分钱一分货吧,48,7,8,中性,2023-06-15
CM00504,竞品C,小红书,感觉最近质量不如以前了，有点失望,52,11,8,负面,2023-05-18
CM00505,竞品C,微博,这个品牌的产品真的很好用，支持了好多年了,39,17,3,正面,2023-01-27
CM00506,竞品C,抖音,客服态度太差了，再也不会买了,51,16,2,负面,2023-12-07
CM00507,品牌A,小红书,国货之光，必须支持,52,10,6,正面,2023-12-18
CM00508,竞品B,抖音,客服态度太差了，再也不会买了,37,11,7,负面,2023-02-23
CM00509,竞品C,B站,国货之光，必须支持,50,14,3,正面,2023-10-26
CM00510,竞品B,B站,感觉最近质量不如以前了，有点失望,49,13,2,负面,2023-11-24
CM00511,竞品C,抖音,物流很快，包装也很好，推荐购买,49,16,4,正面,2023-10-12
CM00512,品牌A,小红书,用了过敏，不知道是不是正品,43,7,3,负面,2023-07-31
CM00513,品牌A,微博,国货之光，必须支持,60,13,8,正面,2023-02-09
CM00514,竞品C,微博,物流很快，包装也很好，推荐购买,54,15,2,正面,2023-03-19
CM00515,竞品B,微博,用了过敏，不知道是不是正品,52,8,4,负面,2023-04-16
CM00516,品牌A,抖音,物流很快，包装也很好，推荐购买,29,11,5,正面,2023-03-26
CM00517,竞品C,抖音,颜值很高，就是有点不耐用,56,14,7,中性,2023-12-06
CM00518,竞品C,小红书,用了过敏，不知道是不是正品,51,17,6,负面,2023-07-25
CM00519,竞品C,小红书,性价比很高，比XX品牌好多了,60,4,2,正面,2023-11-16
CM00520,竞品C,B站,这个品牌的产品真的很好用，支持了好多年了,48,11,7,正面,2023-02-15
CM00521,品牌A,抖音,这个品牌的产品真的很好用，支持了好多年了,64,12,8,正面,2023-05-28
CM00522,竞品C,小红书,这个品牌的产品真的很好用，支持了好多年了,43,13,2,正面,2023-10-31
CM00523,竞品C,小红书,这个品牌的产品真的很好用，支持了好多年了,52,3,4,正面,2023-05-26
CM00524,品牌A,抖音,价格有点贵，但是一分钱一分货吧,53,8,3,中性,2023-12-25
CM00525,品牌A,小红书,用了过敏，不知道是不是正品,43,14,8,负面,2023-07-21
CM00526,竞品B,小红书,性价比很高，比XX品牌好多了,47,6,4,正面,2023-08-27
CM00527,竞品B,小红书,客服态度太差了，再也不会买了,43,12,6,负面,2023-11-12
CM00528,竞品B,小红书,用了过敏，不知道是不是正品,55,9,9,负面,2023-07-26
CM00529,竞品C,B站,感觉最近质量不如以前了，有点失望,54,13,9,负面,2023-05-25
CM00530,品牌A,微博,颜值很高，就是有点不耐用,40,11,4,中性,2023-10-01
CM00531,品牌A,抖音,感觉最近质量不如以前了，有点失望,54,9,4,负面,2023-04-01
CM00532,竞品B,抖音,感觉最近质量不如以前了，有点失望,51,7,4,负面,2023-04-30
CM00533,竞品B,微博,物流很快，包装也很好，推荐购买,41,10,5,正面,2023-12-13
CM00534,竞品C,B站,物流很快，包装也很好，推荐购买,42,10,3,正面,2023-01-19
CM00535,竞品C,小红书,这个品牌的产品真的很好用，支持了好多年了,53,7,4,正面,2023-09-15
CM00536,竞品C,微博,感觉最近质量不如以前了，有点失望,59,6,8,负面,2023-12-15
CM00537,品牌A,小红书,价格有点贵，但是一分钱一分货吧,54,10,5,中性,2023-05-28
CM00538,竞品C,微博,感觉最近质量不如以前了，有点失望,40,10,5,负面,2023-11-09
CM00539,竞品B,抖音,什么时候出新品啊，等好久了,57,5,9,正面,2023-04-02
CM00540,竞品C,微博,颜值很高，就是有点不耐用,50,6,4,中性,2023-06-20
CM00541,竞品B,抖音,价格有点贵，但是一分钱一分货吧,45,15,4,中性,2023-01-13
CM00542,竞品C,抖音,感觉最近质量不如以前了，有点失望,68,9,11,负面,2023-11-20
CM00543,竞品C,微博,性价比很高，比XX品牌好多了,55,9,2,正面,2023-10-05
CM00544,竞品B,微博,性价比很高，比XX品牌好多了,46,12,4,正面,2023-03-26
CM00545,品牌A,B站,客服态度太差了，再也不会买了,50,14,11,负面,2023-12-31
CM00546,竞品B,B站,感觉最近质量不如以前了，有点失望,56,9,5,负面,2023-12-25
CM00547,竞品C,B站,感觉最近质量不如以前了，有点失望,47,11,4,负面,2023-03-03
CM00548,竞品C,微博,颜值很高，就是有点不耐用,50,8,3,中性,2023-11-08
CM00549,竞品B,小红书,感觉最近质量不如以前了，有点失望,48,13,3,负面,2023-01-02
CM00550,竞品C,微博,用了过敏，不知道是不是正品,50,8,8,负面,2023-12-30
CM00551,竞品C,B站,物流很快，包装也很好，推荐购买,50,10,6,正面,2023-05-23
CM00552,品牌A,小红书,感觉最近质量不如以前了，有点失望,45,10,6,负面,2023-12-23
CM00553,竞品C,抖音,性价比很高，比XX品牌好多了,50,7,2,正面,2023-09-04
CM00554,竞品C,B站,什么时候出新品啊，等好久了,48,12,1,正面,2023-09-25
CM00555,竞品B,微博,感觉最近质量不如以前了，有点失望,50,7,3,负面,2023-12-28
CM00556,竞品B,微博,物流很快，包装也很好，推荐购买,42,7,0,正面,2023-01-02
CM00557,竞品C,微博,物流很快，包装也很好，推荐购买,43,11,4,正面,2023-02-09
CM00558,品牌A,B站,用了过敏，不知道是不是正品,57,9,5,负面,2023-05-24
CM00559,竞品C,抖音,价格有点贵，但是一分钱一分货吧,43,6,7,中性,2023-04-28
CM00560,品牌A,微博,感觉最近质量不如以前了，有点失望,49,9,5,负面,2023-11-25
CM00561,竞品B,小红书,价格有点贵，但是一分钱一分货吧,48,7,8,中性,2023-05-26
CM00562,品牌A,微博,颜值很高，就是有点不耐用,40,5,9,中性,2023-04-14
CM00563,竞品B,小红书,国货之光，必须支持,56,11,5,正面,2023-05-23
CM00564,品牌A,抖音,感觉最近质量不如以前了，有点失望,48,11,4,负面,2023-06-27
CM00565,品牌A,微博,颜值很高，就是有点不耐用,39,6,6,中性,2023-12-15
CM00566,竞品C,小红书,这个品牌的产品真的很好用，支持了好多年了,54,9,3,正面,2023-01-12
CM00567,品牌A,微博,用了过敏，不知道是不是正品,56,12,7,负面,2023-09-01
CM00568,竞品C,微博,这个品牌的产品真的很好用，支持了好多年了,35,7,5,正面,2023-04-17
CM00569,竞品C,B站,感觉最近质量不如以前了，有点失望,45,10,5,负面,2023-12-26
CM00570,竞品C,小红书,物流很快，包装也很好，推荐购买,59,10,3,正面,2023-04-23
CM00571,竞品B,B站,感觉最近质量不如以前了，有点失望,56,14,4,负面,2023-06-04
CM00572,竞品C,微博,客服态度太差了，再也不会买了,44,12,3,负面,2023-01-12
CM00573,竞品C,抖音,性价比很高，比XX品牌好多了,55,10,3,正面,2023-02-02
CM00574,品牌A,B站,价格有点贵，但是一分钱一分货吧,43,14,2,中性,2023-05-01
CM00575,竞品C,微博,物流很快，包装也很好，推荐购买,59,11,2,正面,2023-07-17
CM00576,竞品C,微博,感觉最近质量不如以前了，有点失望,62,17,10,负面,2023-07-11
CM00577,竞品C,B站,物流很快，包装也很好，推荐购买,52,12,7,正面,2023-10-19
CM00578,竞品C,抖音,感觉最近质量不如以前了，有点失望,50,7,9,负面,2023-08-27
CM00579,竞品B,微博,感觉最近质量不如以前了，有点失望,41,13,6,负面,2023-07-31
CM00580,竞品B,抖音,这个品牌的产品真的很好用，支持了好多年了,55,11,4,正面,2023-08-19
CM00581,竞品B,B站,感觉最近质量不如以前了，有点失望,48,14,6,负面,2023-06-25
CM00582,竞品B,抖音,什么时候出新品啊，等好久了,44,5,4,正面,2023-04-18
CM00583,品牌A,微博,客服态度太差了，再也不会买了,50,12,8,负面,2023-10-24
CM00584,品牌A,小红书,价格有点贵，但是一分钱一分货吧,48,9,10,中性,2023-12-15
CM00585,品牌A,B站,用了过敏，不知道是不是正品,67,9,9,负面,2023-03-01
CM00586,竞品B,抖音,价格有点贵，但是一分钱一分货吧,60,9,7,中性,2023-05-25
CM00587,品牌A,B站,这个品牌的产品真的很好用，支持了好多年了,43,7,5,正面,2023-02-04
CM00588,竞品C,小红书,颜值很高，就是有点不耐用,57,12,3,中性,2023-08-10
CM00589,品牌A,抖音,物流很快，包装也很好，推荐购买,54,9,4,正面,2023-11-02
CM00590,品牌A,微博,性价比很高，比XX品牌好多了,54,11,6,正面,2023-06-28
CM00591,竞品C,B站,什么时候出新品啊，等好久了,54,17,6,正面,2023-02-26
CM00592,品牌A,小红书,用了过敏，不知道是不是正品,48,13,2,负面,2023-01-11
CM00593,竞品C,抖音,物流很快，包装也很好，推荐购买,56,11,3,正面,2023-07-26
CM00594,品牌A,抖音,物流很快，包装也很好，推荐购买,52,15,5,正面,2023-06-02
CM00595,品牌A,B站,价格有点贵，但是一分钱一分货吧,58,7,5,中性,2023-07-07
CM00596,竞品C,微博,国货之光，必须支持,53,6,4,正面,2023-06-18
CM00597,竞品B,B站,国货之光，必须支持,56,11,7,正面,2023-04-02
CM00598,竞品B,B站,价格有点贵，但是一分钱一分货吧,65,13,4,中性,2023-02-19
CM00599,品牌A,抖音,国货之光，必须支持,56,10,6,正面,2023-11-25
CM00600,品牌A,小红书,感觉最近质量不如以前了，有点失望,43,8,7,负面,2023-04-23
CM00601,竞品C,抖音,什么时候出新品啊，等好久了,56,11,8,正面,2023-11-01
CM00602,品牌A,微博,物流很快，包装也很好，推荐购买,39,13,4,正面,2023-09-28
CM00603,竞品B,B站,用了过敏，不知道是不是正品,56,14,5,负面,2023-03-15
CM00604,品牌A,小红书,物流很快，包装也很好，推荐购买,42,15,2,正面,2023-08-18
CM00605,竞品C,抖音,用了过敏，不知道是不是正品,45,12,5,负面,2023-02-05
CM00606,竞品C,B站,价格有点贵，但是一分钱一分货吧,49,9,10,中性,2023-04-29
CM00607,品牌A,小红书,这个品牌的产品真的很好用，支持了好多年了,40,10,4,正面,2023-03-02
CM00608,竞品C,微博,客服态度太差了，再也不会买了,55,13,10,负面,2023-08-22
CM00609,竞品B,微博,国货之光，必须支持,54,11,5,正面,2023-08-16
CM00610,竞品C,微博,什么时候出新品啊，等好久了,38,8,8,正面,2023-11-14
CM00611,竞品B,B站,性价比很高，比XX品牌好多了,61,17,2,正面,2023-05-19
CM00612,竞品B,B站,颜值很高，就是有点不耐用,44,13,3,中性,2023-11-09
CM00613,竞品C,微博,客服态度太差了，再也不会买了,51,9,5,负面,2023-10-02
CM00614,品牌A,微博,感觉最近质量不如以前了，有点失望,60,7,9,负面,2023-06-01
CM00615,竞品C,微博,物流很快，包装也很好，推荐购买,54,8,4,正面,2023-03-05
CM00616,竞品C,小红书,性价比很高，比XX品牌好多了,50,10,6,正面,2023-11-26
CM00617,品牌A,小红书,颜值很高，就是有点不耐用,34,9,6,中性,2023-09-25
CM00618,品牌A,B站,用了过敏，不知道是不是正品,53,10,7,负面,2023-12-16
CM00619,竞品B,微博,国货之光，必须支持,52,8,3,正面,2023-04-24
CM00620,竞品C,微博,颜值很高，就是有点不耐用,64,10,10,中性,2023-11-12
CM00621,品牌A,小红书,颜值很高，就是有点不耐用,40,11,4,中性,2023-09-08
CM00622,竞品B,小红书,国货之光，必须支持,49,12,9,正面,2023-03-31
CM00623,竞品B,抖音,什么时候出新品啊，等好久了,42,10,6,正面,2023-08-25
CM00624,竞品C,微博,颜值很高，就是有点不耐用,54,17,4,中性,2023-02-27
CM00625,竞品C,微博,性价比很高，比XX品牌好多了,52,9,6,正面,2023-05-09
CM00626,竞品B,微博,客服态度太差了，再也不会买了,56,8,4,负面,2023-01-08
CM00627,竞品B,B站,颜值很高，就是有点不耐用,40,10,4,中性,2023-01-06
CM00628,竞品B,B站,性价比很高，比XX品牌好多了,65,13,5,正面,2023-03-26
CM00629,竞品B,小红书,客服态度太差了，再也不会买了,51,9,3,负面,2023-12-04
CM00630,竞品C,小红书,这个品牌的产品真的很好用，支持了好多年了,57,9,5,正面,2023-05-08
CM00631,竞品B,抖音,客服态度太差了，再也不会买了,43,6,3,负面,2023-07-04
CM00632,竞品B,小红书,用了过敏，不知道是不是正品,51,10,1,负面,2023-06-21
CM00633,竞品B,抖音,这个品牌的产品真的很好用，支持了好多年了,51,8,3,正面,2023-11-02
CM00634,品牌A,B站,什么时候出新品啊，等好久了,46,12,9,正面,2023-03-14
CM00635,竞品B,抖音,这个品牌的产品真的很好用，支持了好多年了,43,3,2,正面,2023-10-08
CM00636,竞品C,微博,价格有点贵，但是一分钱一分货吧,50,10,5,中性,2023-07-02
CM00637,竞品C,微博,物流很快，包装也很好，推荐购买,47,7,5,正面,2023-12-29
CM00638,品牌A,小红书,国货之光，必须支持,57,10,1,正面,2023-05-06
CM00639,品牌A,微博,感觉最近质量不如以前了，有点失望,35,14,9,负面,2023-01-23
CM00640,竞品C,微博,用了过敏，不知道是不是正品,65,7,1,负面,2023-09-09
CM00641,品牌A,微博,客服态度太差了，再也不会买了,51,10,4,负面,2023-01-21
CM00642,品牌A,微博,这个品牌的产品真的很好用，支持了好多年了,33,5,5,正面,2023-03-05
CM00643,竞品C,微博,颜值很高，就是有点不耐用,42,12,4,中性,2023-07-15
CM00644,竞品B,小红书,用了过敏，不知道是不是正品,47,9,4,负面,2023-01-19
CM00645,竞品C,微博,用了过敏，不知道是不是正品,42,9,4,负面,2023-12-01
CM00646,竞品C,微博,价格有点贵，但是一分钱一分货吧,34,9,7,中性,2023-01-17
CM00647,竞品C,微博,什么时候出新品啊，等好久了,50,5,3,正面,2023-01-15
CM00648,竞品C,B站,颜值很高，就是有点不耐用,44,7,4,中性,2023-07-22
CM00649,品牌A,小红书,国货之光，必须支持,56,13,5,正面,2023-07-03
CM00650,品牌A,抖音,用了过敏，不知道是不是正品,61,9,6,负面,2023-07-02
CM00651,竞品C,微博,什么时候出新品啊，等好久了,51,16,2,正面,2023-02-17
CM00652,竞品C,B站,价格有点贵，但是一分钱一分货吧,59,8,3,中性,2023-03-30
CM00653,品牌A,小红书,什么时候出新品啊，等好久了,35,8,3,正面,2023-12-31
CM00654,竞品B,B站,颜值很高，就是有点不耐用,47,6,3,中性,2023-07-27
CM00655,竞品B,B站,物流很快，包装也很好，推荐购买,50,8,5,正面,2023-10-27
CM00656,竞品B,微博,用了过敏，不知道是不是正品,46,8,3,负面,2023-05-10
CM00657,品牌A,抖音,颜值很高，就是有点不耐用,62,9,1,中性,2023-03-06
CM00658,品牌A,B站,物流很快，包装也很好，推荐购买,58,9,8,正面,2023-10-09
CM00659,竞品B,小红书,感觉最近质量不如以前了，有点失望,49,10,5,负面,2023-04-02
CM00660,品牌A,微博,客服态度太差了，再也不会买了,54,11,2,负面,2023-04-13
CM00661,竞品B,小红书,客服态度太差了，再也不会买了,53,12,8,负面,2023-04-07
CM00662,竞品C,小红书,感觉最近质量不如以前了，有点失望,64,10,2,负面,2023-09-10
CM00663,竞品B,微博,客服态度太差了，再也不会买了,52,10,8,负面,2023-08-15
CM00664,竞品C,抖音,什么时候出新品啊，等好久了,50,9,10,正面,2023-09-25
CM00665,品牌A,微博,性价比很高，比XX品牌好多了,56,5,5,正面,2023-05-03
CM00666,竞品B,小红书,价格有点贵，但是一分钱一分货吧,54,12,3,中性,2023-12-18
CM00667,品牌A,抖音,国货之光，必须支持,57,8,10,正面,2023-08-01
CM00668,品牌A,微博,价格有点贵，但是一分钱一分货吧,49,11,4,中性,2023-08-13
CM00669,品牌A,B站,这个品牌的产品真的很好用，支持了好多年了,61,9,7,正面,2023-01-18
CM00670,品牌A,微博,物流很快，包装也很好，推荐购买,50,10,9,正面,2023-09-20
CM00671,竞品B,抖音,客服态度太差了，再也不会买了,51,14,6,负面,2023-10-30
CM00672,品牌A,小红书,颜值很高，就是有点不耐用,51,9,6,中性,2023-01-10
CM00673,竞品B,B站,价格有点贵，但是一分钱一分货吧,38,5,6,中性,2023-07-06
CM00674,竞品B,抖音,国货之光，必须支持,49,7,3,正面,2023-02-11
CM00675,竞品B,微博,这个品牌的产品真的很好用，支持了好多年了,54,8,10,正面,2023-01-21
CM00676,品牌A,小红书,什么时候出新品啊，等好久了,58,12,4,正面,2023-10-05
CM00677,品牌A,抖音,国货之光，必须支持,55,15,5,正面,2023-01-19
CM00678,品牌A,微博,物流很快，包装也很好，推荐购买,35,6,8,正面,2023-03-06
CM00679,竞品C,抖音,用了过敏，不知道是不是正品,57,7,7,负面,2023-07-12
CM00680,品牌A,微博,国货之光，必须支持,56,14,5,正面,2023-12-18
CM00681,品牌A,B站,性价比很高，比XX品牌好多了,51,13,3,正面,2023-03-14
CM00682,竞品B,小红书,物流很快，包装也很好，推荐购买,50,5,4,正面,2023-01-11
CM00683,竞品B,抖音,国货之光，必须支持,57,5,8,正面,2023-05-02
CM00684,竞品B,抖音,性价比很高，比XX品牌好多了,41,8,4,正面,2023-02-24
CM00685,品牌A,小红书,颜值很高，就是有点不耐用,48,4,3,中性,2023-09-16
CM00686,竞品C,抖音,性价比很高，比XX品牌好多了,52,13,5,正面,2023-09-02
CM00687,竞品B,小红书,国货之光，必须支持,41,10,2,正面,2023-06-17
CM00688,竞品C,微博,什么时候出新品啊，等好久了,47,4,6,正面,2023-02-24
CM00689,品牌A,微博,国货之光，必须支持,37,9,8,正面,2023-02-20
CM00690,竞品B,微博,这个品牌的产品真的很好用，支持了好多年了,51,8,3,正面,2023-04-15
CM00691,竞品B,B站,物流很快，包装也很好，推荐购买,62,12,5,正面,2023-07-29
CM00692,竞品B,小红书,什么时候出新品啊，等好久了,63,11,2,正面,2023-11-27
CM00693,品牌A,小红书,用了过敏，不知道是不是正品,47,12,8,负面,2023-01-29
CM00694,竞品B,B站,客服态度太差了，再也不会买了,45,8,9,负面,2023-09-16
CM00695,竞品B,微博,客服态度太差了，再也不会买了,43,13,8,负面,2023-12-19
CM00696,竞品C,小红书,感觉最近质量不如以前了，有点失望,53,7,6,负面,2023-08-02
CM00697,品牌A,微博,用了过敏，不知道是不是正品,40,6,5,负面,2023-12-24
CM00698,竞品C,B站,用了过敏，不知道是不是正品,47,10,5,负面,2023-10-23
CM00699,品牌A,小红书,客服态度太差了，再也不会买了,51,8,4,负面,2023-01-15
CM00700,品牌A,抖音,价格有点贵，但是一分钱一分货吧,40,12,2,中性,2023-04-21
CM00701,竞品C,微博,这个品牌的产品真的很好用，支持了好多年了,47,10,4,正面,2023-11-14
CM00702,竞品C,小红书,颜值很高，就是有点不耐用,56,11,2,中性,2023-05-20
CM00703,竞品C,B站,感觉最近质量不如以前了，有点失望,60,4,5,负面,2023-01-07
CM00704,竞品C,抖音,国货之光，必须支持,55,11,4,正面,2023-07-04
CM00705,竞品B,微博,性价比很高，比XX品牌好多了,61,4,6,正面,2023-12-07
CM00706,竞品B,B站,性价比很高，比XX品牌好多了,41,11,8,正面,2023-08-30
CM00707,品牌A,微博,国货之光，必须支持,48,8,5,正面,2023-10-03
CM00708,品牌A,微博,价格有点贵，但是一分钱一分货吧,52,14,6,中性,2023-08-05
CM00709,竞品C,小红书,价格有点贵，但是一分钱一分货吧,47,8,5,中性,2023-01-04
CM00710,竞品B,抖音,价格有点贵，但是一分钱一分货吧,66,15,7,中性,2023-05-10
CM00711,竞品B,小红书,价格有点贵，但是一分钱一分货吧,48,9,3,中性,2023-06-03
CM00712,竞品B,抖音,感觉最近质量不如以前了，有点失望,61,6,7,负面,2023-11-13
CM00713,品牌A,B站,用了过敏，不知道是不是正品,42,14,3,负面,2023-08-03
CM00714,竞品B,B站,物流很快，包装也很好，推荐购买,51,9,8,正面,2023-05-06
CM00715,品牌A,微博,什么时候出新品啊，等好久了,51,11,8,正面,2023-01-17
CM00716,竞品B,微博,感觉最近质量不如以前了，有点失望,50,3,1,负面,2023-07-20
CM00717,品牌A,抖音,客服态度太差了，再也不会买了,39,7,6,负面,2023-09-23
CM00718,品牌A,B站,感觉最近质量不如以前了，有点失望,51,9,5,负面,2023-02-02
CM00719,竞品C,抖音,颜值很高，就是有点不耐用,44,5,6,中性,2023-03-03
CM00720,品牌A,B站,这个品牌的产品真的很好用，支持了好多年了,60,11,2,正面,2023-07-05
CM00721,竞品B,小红书,客服态度太差了，再也不会买了,71,10,5,负面,2023-01-06
CM00722,品牌A,B站,物流很快，包装也很好，推荐购买,49,9,7,正面,2023-12-26
CM00723,品牌A,小红书,颜值很高，就是有点不耐用,57,13,5,中性,2023-06-24
CM00724,品牌A,微博,颜值很高，就是有点不耐用,48,12,5,中性,2023-02-24
CM00725,竞品B,微博,用了过敏，不知道是不是正品,49,11,5,负面,2023-04-19
CM00726,竞品B,微博,物流很快，包装也很好，推荐购买,47,16,8,正面,2023-09-23
CM00727,竞品B,抖音,价格有点贵，但是一分钱一分货吧,56,6,6,中性,2023-09-01
CM00728,品牌A,B站,用了过敏，不知道是不是正品,59,12,3,负面,2023-06-15
CM00729,品牌A,微博,国货之光，必须支持,54,7,7,正面,2023-07-21
CM00730,竞品C,抖音,物流很快，包装也很好，推荐购买,54,8,6,正面,2023-09-06
CM00731,竞品C,微博,用了过敏，不知道是不是正品,44,11,3,负面,2023-05-01
CM00732,竞品C,抖音,价格有点贵，但是一分钱一分货吧,63,10,8,中性,2023-07-30
CM00733,竞品B,小红书,客服态度太差了，再也不会买了,47,13,4,负面,2023-02-17
CM00734,竞品B,B站,感觉最近质量不如以前了，有点失望,47,9,10,负面,2023-09-06
CM00735,竞品C,抖音,感觉最近质量不如以前了，有点失望,49,10,3,负面,2023-05-21
CM00736,竞品C,小红书,物流很快，包装也很好，推荐购买,56,12,9,正面,2023-07-30
CM00737,竞品B,B站,感觉最近质量不如以前了，有点失望,53,13,4,负面,2023-03-13
CM00738,品牌A,小红书,客服态度太差了，再也不会买了,45,9,6,负面,2023-11-20
CM00739,品牌A,B站,性价比很高，比XX品牌好多了,48,20,7,正面,2023-04-01
CM00740,品牌A,微博,颜值很高，就是有点不耐用,48,8,7,中性,2023-10-19
CM00741,品牌A,微博,什么时候出新品啊，等好久了,61,14,3,正面,2023-02-22
CM00742,竞品C,小红书,客服态度太差了，再也不会买了,57,10,6,负面,2023-06-21
CM00743,品牌A,B站,国货之光，必须支持,46,13,4,正面,2023-10-30
CM00744,竞品B,B站,价格有点贵，但是一分钱一分货吧,56,9,4,中性,2023-08-23
CM00745,竞品B,小红书,感觉最近质量不如以前了，有点失望,44,12,5,负面,2023-09-27
CM00746,竞品C,小红书,这个品牌的产品真的很好用，支持了好多年了,59,4,4,正面,2023-06-01
CM00747,品牌A,微博,颜值很高，就是有点不耐用,53,10,3,中性,2023-09-25
CM00748,竞品B,小红书,这个品牌的产品真的很好用，支持了好多年了,45,6,1,正面,2023-08-07
CM00749,竞品B,微博,价格有点贵，但是一分钱一分货吧,53,15,6,中性,2023-07-17
CM00750,竞品C,微博,感觉最近质量不如以前了，有点失望,46,10,5,负面,2023-04-10
CM00751,竞品B,B站,颜值很高，就是有点不耐用,45,4,8,中性,2023-05-01
CM00752,品牌A,B站,什么时候出新品啊，等好久了,45,10,1,正面,2023-04-10
CM00753,竞品C,小红书,物流很快，包装也很好，推荐购买,46,9,2,正面,2023-11-26
CM00754,竞品C,抖音,这个品牌的产品真的很好用，支持了好多年了,37,16,8,正面,2023-04-10
CM00755,竞品C,B站,用了过敏，不知道是不是正品,63,11,3,负面,2023-05-10
CM00756,竞品B,B站,国货之光，必须支持,44,11,5,正面,2023-06-18
CM00757,竞品C,微博,感觉最近质量不如以前了，有点失望,43,12,5,负面,2023-05-24
CM00758,竞品C,抖音,用了过敏，不知道是不是正品,51,8,4,负面,2023-04-02
CM00759,品牌A,B站,性价比很高，比XX品牌好多了,55,10,7,正面,2023-02-24
CM00760,品牌A,小红书,客服态度太差了，再也不会买了,58,9,3,负面,2023-03-06
CM00761,竞品B,B站,国货之光，必须支持,39,7,4,正面,2023-07-27
CM00762,竞品C,小红书,价格有点贵，但是一分钱一分货吧,58,7,7,中性,2023-01-31
CM00763,竞品B,微博,物流很快，包装也很好，推荐购买,43,10,4,正面,2023-02-02
CM00764,品牌A,微博,性价比很高，比XX品牌好多了,44,12,5,正面,2023-06-04
CM00765,品牌A,小红书,这个品牌的产品真的很好用，支持了好多年了,46,9,6,正面,2023-08-03
CM00766,竞品C,微博,颜值很高，就是有点不耐用,58,16,9,中性,2023-02-22
CM00767,品牌A,微博,性价比很高，比XX品牌好多了,47,19,6,正面,2023-04-15
CM00768,品牌A,抖音,这个品牌的产品真的很好用，支持了好多年了,52,7,7,正面,2023-09-09
CM00769,竞品C,B站,客服态度太差了，再也不会买了,47,12,6,负面,2023-09-18
CM00770,竞品B,小红书,国货之光，必须支持,57,6,5,正面,2023-11-08
CM00771,竞品C,小红书,客服态度太差了，再也不会买了,53,14,4,负面,2023-04-16
CM00772,竞品B,微博,国货之光，必须支持,46,13,6,正面,2023-08-15
CM00773,竞品B,微博,物流很快，包装也很好，推荐购买,49,7,6,正面,2023-04-21
CM00774,竞品B,B站,感觉最近质量不如以前了，有点失望,60,6,3,负面,2023-06-06
CM00775,品牌A,微博,颜值很高，就是有点不耐用,48,11,4,中性,2023-04-30
CM00776,品牌A,微博,颜值很高，就是有点不耐用,55,8,5,中性,2023-04-20
CM00777,品牌A,抖音,感觉最近质量不如以前了，有点失望,44,9,7,负面,2023-12-31
CM00778,竞品B,B站,什么时候出新品啊，等好久了,51,17,8,正面,2023-03-09
CM00779,竞品C,小红书,物流很快，包装也很好，推荐购买,44,14,2,正面,2023-05-31
CM00780,竞品C,微博,感觉最近质量不如以前了，有点失望,54,11,4,负面,2023-07-20
CM00781,竞品C,B站,物流很快，包装也很好，推荐购买,53,6,3,正面,2023-02-26
CM00782,品牌A,小红书,物流很快，包装也很好，推荐购买,49,7,6,正面,2023-10-10
CM00783,竞品B,抖音,这个品牌的产品真的很好用，支持了好多年了,50,9,4,正面,2023-11-08
CM00784,品牌A,抖音,价格有点贵，但是一分钱一分货吧,49,6,7,中性,2023-06-21
CM00785,品牌A,B站,物流很快，包装也很好，推荐购买,64,9,5,正面,2023-04-24
CM00786,品牌A,微博,物流很快，包装也很好，推荐购买,60,9,8,正面,2023-08-29
CM00787,竞品B,小红书,物流很快，包装也很好，推荐购买,57,12,3,正面,2023-06-28
CM00788,竞品B,B站,客服态度太差了，再也不会买了,47,8,2,负面,2023-10-06
CM00789,竞品B,抖音,价格有点贵，但是一分钱一分货吧,56,12,6,中性,2023-12-15
CM00790,品牌A,B站,用了过敏，不知道是不是正品,55,10,6,负面,2023-01-31
CM00791,品牌A,抖音,性价比很高，比XX品牌好多了,40,10,2,正面,2023-10-04
CM00792,竞品C,B站,性价比很高，比XX品牌好多了,53,8,4,正面,2023-11-24
CM00793,竞品B,小红书,物流很快，包装也很好，推荐购买,66,10,1,正面,2023-11-02
CM00794,竞品C,微博,性价比很高，比XX品牌好多了,48,10,1,正面,2023-04-10
CM00795,竞品C,小红书,颜值很高，就是有点不耐用,44,10,4,中性,2023-10-23
CM00796,竞品B,抖音,用了过敏，不知道是不是正品,50,7,6,负面,2023-07-26
CM00797,竞品C,抖音,感觉最近质量不如以前了，有点失望,46,11,6,负面,2023-03-07
CM00798,品牌A,小红书,客服态度太差了，再也不会买了,53,10,9,负面,2023-09-19
CM00799,竞品C,B站,这个品牌的产品真的很好用，支持了好多年了,53,14,4,正面,2023-11-10
CM00800,竞品C,B站,这个品牌的产品真的很好用，支持了好多年了,43,9,6,正面,2023-04-10
CM00801,竞品B,抖音,国货之光，必须支持,44,8,5,正面,2023-12-16
CM00802,品牌A,B站,感觉最近质量不如以前了，有点失望,43,4,7,负面,2023-03-03
CM00803,竞品C,B站,什么时候出新品啊，等好久了,52,11,3,正面,2023-06-19
